,WinningP1,WinningChar1,WinningP2,WinningChar2,LosingP1,LosingChar1,LosingP2,LosingChar2,StockCountP1,StockCountP2,Stage
201711082114,Allen,Wario,Brett,Samus,Sean,CaptainFalcon,Josh,MrGameAndWatch,2,2,delfinosSecret
201711082117,Sean,CaptainFalcon,Torben,Fox,Allen,Wario,Brett,Mario,2,2,yoshisStory
201711082122,Torben,Ganondorf,Joe,Marth,Sean,CaptainFalcon,Atakan,Pikachu,2,2,norfair
201711082127,Allen,Bowser,Atakan,Link,Josh,Ike,Joe,MrGameAndWatch,2,1,finalDestination
201711082132,Josh,Snake,Torben,Fox,Brett,Samus,Sean,CaptainFalcon,1,1,dreamland
201711082138,Josh,Snake,Torben,Fox,Brett,Samus,Allen,Wario,1,0,pokemonStadium2
201711082144,Allen,Wario,Joe,MrGameAndWatch,Atakan,Squirtle,Sean,CaptainFalcon,2,1,yoshisIsland
201711082149,Josh,Snake,Torben,Fox,Brett,Samus,Sean,CaptainFalcon,2,1,yoshisIsland
201711082155,Brett,Samus,Sean,CaptainFalcon,Josh,Snake,Torben,Fox,1,2,finalDestination
201711082207,Josh,Snake,Torben,Fox,Brett,Samus,Sean,CaptainFalcon,0,1,warioLand
201711152323,Josh,Snake,Torben,Fox,Allen,Yoshi,Brett,Samus,1,1,battlefield
201711152330,Josh,Snake,Torben,Fox,Allen,Wario,Sean,CaptainFalcon,1,1,smashville
201711152335,Josh,Snake,Torben,Fox,Brett,Samus,Sean,CaptainFalcon,1,1,yoshisStory
201711152341,Brett,Samus,Sean,CaptainFalcon,Josh,Snake,Torben,Ike,1,1,yoshisIsland
201711152347,Brett,Samus,Sean,CaptainFalcon,Josh,Snake,Torben,CaptainFalcon,0,1,dreamland
201711152351,Josh,Snake,Torben,CaptainFalcon,Brett,Samus,Sean,CaptainFalcon,3,2,greenHillZone
201711152355,Brett,Mario,Sean,CaptainFalcon,Josh,Snake,Torben,CaptainFalcon,2,1,delfinosSecret
201711160000,Brett,Mario,Sean,CaptainFalcon,Josh,Snake,Torben,Fox,1,0,smashville
201711160020,Claire,IceClimbers,Torben,Fox,Allen,Ike,Sean,MetaKnight,2,1,battlefield
201711160026,Allen,Bowser,Sean,CaptainFalcon,Joe,Kirby,Torben,Fox,0,1,warioLand
201711160032,Joe,MrGameAndWatch,Torben,CaptainFalcon,Claire,IceClimbers,Sean,CaptainFalcon,0,1,battlefield
201711160037,Joe,Marth,Torben,Fox,Claire,IceClimbers,Sean,CaptainFalcon,1,1,pokemonStadium2
